respondent_id,age,gender,education_level,residence_type,marital_status,relationship_to_hh,region,population_weight,mobile_money_registered,savings_mobile_banking,bank_account_current,bank_account_savings,bank_account_everyday,postbank_account,bank_overdraft,debit_card,credit_card,savings_microfinance,savings_sacco,savings_group_friends,savings_family_friend,savings_secret_place,loan_bank,loan_mobile_banking,loan_sacco,loan_microfinance,loan_shylock,loan_group_chama,loan_govt,loan_employer,loan_family_friend,loan_shopkeeper_cash,loan_goods_credit,loan_digital_app,loan_agri_buyer_supplier,loan_hire_purchase,loan_mortgage,insurance_motor,insurance_home,insurance_crop,insurance_livestock,insurance_nhif,insurance_health_other,insurance_life,insurance_education,insurance_other,pension_nssf,pension_mbao,pension_other,financially_excluded
23559537,21.0,female,secondary,urban,married/living with partner,other relative,coast,557.78577,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
23266247,56.0,female,primary,rural,married/living with partner,spouse,coast,2140.8252,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
23647292,21.0,male,primary,rural,single,son/daughter,coast,1267.5525,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
23312411,35.0,female,unknown,urban,married/living with partner,spouse,coast,351.9644,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
24184539,27.0,female,unknown,rural,married/living with partner,head,coast,1713.0679,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
22921713,70.0,female,unknown,rural,widowed,head,coast,219.79614,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
23236395,30.0,male,unknown,rural,married/living with partner,other relative,coast,2988.0432,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
23104953,21.0,male,primary,rural,single,son/daughter,coast,4298.4634,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
23589078,36.0,female,primary,urban,married/living with partner,spouse,coast,545.0046,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
23180728,48.0,female,unknown,rural,married/living with partner,spouse,coast,2958.4768,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
23067614,30.0,female,secondary,rural,single,son/daughter,coast,2936.3564,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
23312408,60.0,female,unknown,rural,married/living with partner,head,coast,293.72684,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
22540934,30.0,female,unknown,rural,married/living with partner,head,coast,519.66174,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
23201125,64.0,female,unknown,urban,married/living with partner,head,coast,251.24113,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
23648503,39.0,female,primary,rural,married/living with partner,spouse,coast,1997.9211,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
23612535,19.0,female,secondary,rural,married/living with partner,spouse,coast,5354.6035,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
23996235,21.0,female,primary,urban,married/living with partner,spouse,coast,2858.5942,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
23832514,78.5,female,unknown,rural,widowed,head,coast,3839.083,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
23160914,73.0,female,primary,rural,widowed,head,coast,4851.2217,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
24203638,45.0,female,unknown,rural,married/living with partner,spouse,coast,1780.3611,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
